wordCount_filtered_formatted_w,wordCount_filtered_formatted_c,wordCount_filtered_formatted_pct_c,dateIssued
Authority,30,7.32,2023-02-02
Constitutional,29,7.07,2023-02-02
Single,29,7.07,2023-02-02
Subject,29,7.07,2023-02-02
Statements,29,7.07,2023-02-02
H.r.,27,6.59,2023-02-02
Session,13,3.17,2023-02-02
Executive,12,2.93,2023-02-02
S.,10,2.44,2023-02-02
Senate,9,2.2,2023-02-02
Resolution,8,1.95,2023-02-02
Introductory,7,1.71,2023-02-02
Statement,7,1.71,2023-02-02
February,4,0.98,2023-02-02
Committees,4,0.98,2023-02-02
National,4,0.98,2023-02-02
Additional,3,0.73,2023-02-02
Time,3,0.73,2023-02-02
Submit,3,0.73,2023-02-02
Joint,3,0.73,2023-02-02
Congress,3,0.73,2023-02-02
Brazil,3,0.73,2023-02-02
Measures,3,0.73,2023-02-02
Calendar,3,0.73,2023-02-02
Congressional,2,0.49,2023-02-02
Limited,2,0.49,2023-02-02
H.j.,2,0.49,2023-02-02
Res,2,0.49,2023-02-02
.,2,0.49,2023-02-02
Read,2,0.49,2023-02-02
Today,2,0.49,2023-02-02
President,2,0.49,2023-02-02
-to,2,0.49,2023-02-02
Constitute,2,0.49,2023-02-02
Minority,2,0.49,2023-02-02
Membership,2,0.49,2023-02-02
Certain,2,0.49,2023-02-02
Eighteenth,2,0.49,2023-02-02
Successor,2,0.49,2023-02-02
Majority,2,0.49,2023-02-02
Selfridge,2,0.49,2023-02-02
Air,2,0.49,2023-02-02
Guard,2,0.49,2023-02-02
Base,2,0.49,2023-02-02
Referred,2,0.49,2023-02-02
Legislative,2,0.49,2023-02-02
Leader,2,0.49,2023-02-02
Earmarks,1,0.24,2023-02-02
Tariff,1,0.24,2023-02-02
Sponsors,1,0.24,2023-02-02
Confirmation,1,0.24,2023-02-02
Adjournment,1,0.24,2023-02-02
A.m.,1,0.24,2023-02-02
Friday,1,0.24,2023-02-02
Tuesday,1,0.24,2023-02-02
Authorize,1,0.24,2023-02-02
Appointment,1,0.24,2023-02-02
Escort,1,0.24,2023-02-02
Committee,1,0.24,2023-02-02
Provide,1,0.24,2023-02-02
Receive,1,0.24,2023-02-02
Commitiees,1,0.24,2023-02-02
Meet,1,0.24,2023-02-02
-condemning,1,0.24,2023-02-02
Violent,1,0.24,2023-02-02
Insurrection,1,0.24,2023-02-02
January,1,0.24,2023-02-02
Express,1,0.24,2023-02-02
People,1,0.24,2023-02-02
Safeguarding,1,0.24,2023-02-02
Choose,1,0.24,2023-02-02
Party,1,0.24,2023-02-02
Chosen,1,0.24,2023-02-02
-designate,1,0.24,2023-02-02
Tribal,1,0.24,2023-02-02
Week,1,0.24,2023-02-02
-commemorate,1,0.24,2023-02-02
Space,1,0.24,2023-02-02
Shuttle,1,0.24,2023-02-02
Columbia,1,0.24,2023-02-02
-designating,1,0.24,2023-02-02
Blue,1,0.24,2023-02-02
Star,1,0.24,2023-02-02
Mother,1,0.24,2023-02-02
Day,1,0.24,2023-02-02
-honoring,1,0.24,2023-02-02
106th,1,0.24,2023-02-02
Anniversary,1,0.24,2023-02-02
Military,1,0.24,2023-02-02
Security,1,0.24,2023-02-02
Concurrent,1,0.24,2023-02-02
Resolutions,1,0.24,2023-02-02
House,1,0.24,2023-02-02
Recognize,1,0.24,2023-02-02
Red,1,0.24,2023-02-02
Oak,1,0.24,2023-02-02
David,1,0.24,2023-02-02
W.,1,0.24,2023-02-02
Carle,1,0.24,2023-02-02
Cloture,1,0.24,2023-02-02
Motion,1,0.24,2023-02-02
Willow,1,0.24,2023-02-02
Project,1,0.24,2023-02-02
Tribute,1,0.24,2023-02-02
Frank,1,0.24,2023-02-02
Hughes,1,0.24,2023-02-02
Lincoln,1,0.24,2023-02-02
Bean,1,0.24,2023-02-02
Falk,1,0.24,2023-02-02
Nomination,1,0.24,2023-02-02
Classified,1,0.24,2023-02-02
Documents,1,0.24,2023-02-02
Insulin,1,0.24,2023-02-02
Drug,1,0.24,2023-02-02
Congratulate,1,0.24,2023-02-02
South,1,0.24,2023-02-02
Dakota,1,0.24,2023-02-02
State,1,0.24,2023-02-02
University,1,0.24,2023-02-02
Jackrabbits,1,0.24,2023-02-02
Morning,1,0.24,2023-02-02
Business,1,0.24,2023-02-02
Environmental,1,0.24,2023-02-02
Agency,1,0.24,2023-02-02
Vote,1,0.24,2023-02-02
Strategic,1,0.24,2023-02-02
Petroleum,1,0.24,2023-02-02
Reserve,1,0.24,2023-02-02
Chile,1,0.24,2023-02-02
Big,1,0.24,2023-02-02
Oil,1,0.24,2023-02-02
En,1,0.24,2023-02-02
Bloc,1,0.24,2023-02-02
Pledge,1,0.24,2023-02-02
Allegiance,1,0.24,2023-02-02
Prayer,1,0.24,2023-02-02
Authority,39,10.03,2023-02-01
Constitutional,38,9.77,2023-02-01
Single,38,9.77,2023-02-01
Subject,38,9.77,2023-02-01
H.r.,37,9.51,2023-02-01
Statements,34,8.74,2023-02-01
S.,7,1.8,2023-02-01
Senate,6,1.54,2023-02-01
Resolution,6,1.54,2023-02-01
National,5,1.29,2023-02-01
Introductory,4,1.03,2023-02-01
Statement,4,1.03,2023-02-01
Additional,3,0.77,2023-02-01
China,3,0.77,2023-02-01
Vermont,3,0.77,2023-02-01
Union,3,0.77,2023-02-01
Business,3,0.77,2023-02-01
February,2,0.51,2023-02-01
Concurrent,2,0.51,2023-02-01
