packageId,dateIssued,granuleId,title,granuleClass
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH491-9,Constitutional Authority and Single Subject Statements for H.R. 616,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH491-8,Constitutional Authority and Single Subject Statements for H.R. 615,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH491-7,Constitutional Authority and Single Subject Statements for H.R. 614,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH491-6,Constitutional Authority and Single Subject Statements for H.R. 613,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH491-5,Constitutional Authority and Single Subject Statements for H.R. 612,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH491-4,Constitutional Authority and Single Subject Statements for H.R. 611,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH491-3,Constitutional Authority and Single Subject Statements for H.R. 610,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH491-2,Constitutional Authority and Single Subject Statements for H.R. 609,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH491-10,ADDITIONAL SPONSORS,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH491,Constitutional Authority and Single Subject Statements for H.R. 608,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH490-9,Constitutional Authority and Single Subject Statements for H.R. 594,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH490-8,Constitutional Authority and Single Subject Statements for H.R. 593,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH490-7,Constitutional Authority and Single Subject Statements for H.R. 592,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH490-6,Constitutional Authority and Single Subject Statements for H.R. 591,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH490-5,Constitutional Authority and Single Subject Statements for H.R. 590,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH490-4,Constitutional Authority and Single Subject Statements for H.R. 589,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH490-3,Constitutional Authority and Single Subject Statements for H.R. 588,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH490-22,Constitutional Authority and Single Subject Statements for H.R. 607,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH490-21,Constitutional Authority and Single Subject Statements for H.R. 606,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH490-20,Constitutional Authority and Single Subject Statements for H.R. 605,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH490-2,Constitutional Authority and Single Subject Statements,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH490-19,Constitutional Authority and Single Subject Statements for H.R. 604,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH490-18,Constitutional Authority and Single Subject Statements for H.R. 603,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH490-17,Constitutional Authority and Single Subject Statements for H.R. 602,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH490-16,Constitutional Authority and Single Subject Statements for H.R. 601,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH490-15,Constitutional Authority and Single Subject Statements for H.R. 600,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH490-14,Constitutional Authority and Single Subject Statements for H.R. 599,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH490-13,Constitutional Authority and Single Subject Statements for H.R. 598,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH490-12,Constitutional Authority and Single Subject Statements for H.R. 597,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH490-11,Constitutional Authority and Single Subject Statements for H.R. 596,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH490-10,Constitutional Authority and Single Subject Statements for H.R. 595,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH490,PRIVATE BILLS AND RESOLUTIONS,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH488,PUBLIC BILLS AND RESOLUTIONS,HOUSE
CREC-2023-01-27,2023-01-27,CREC-2023-01-27-pt1-PgH487,"EXECUTIVE COMMUNICATIONS, ETC.",HOUSE
